Common Name,Double,Variable,SAO #,RA (hr),RA (min),Dec Deg,Dec Amin,Mag,Const,Sep,Description
,,,4071,0,16.2,76,57.1,6.2,,,
,,,4079,0,18.2,72,56.8,7.5,,,
,,,4080,0,18.4,76,16.6,7.4,,,
,,,4086,0,19.3,73,7.4,7.6,,,
,,,4101,0,22.2,71,30.5,7,,,
,,,4114,0,25.8,71,48.4,6.9,,,
,,,4118,0,27.1,80,3.1,6.5,,,
,,,4130,0,30.8,77,1.2,6.4,,,
,,,4142,0,33.3,70,58.9,6.4,,,
,HD 3366 ,,4165,0,37.8,72,53.7,"7,12.7",Cas,Sep AB:32,Double Star
,HD 3553 ,,4176,0,40.0,76,52.3,"6.7,8.6",Cas,Sep AB:116,Double Star
,,,4181,0,40.4,70,42.5,7.2,,,
,,,4189,0,42.9,79,11.8,7.1,,,
,,,4202,0,44.0,70,49.4,6.9,,,
,,,4208,0,45.0,75,56.4,7.4,,,
,HD 4161 H N 122; YZ Cas,,4216,0,45.6,74,59.3,"5.7,9.4",Cas,Sep AB:36,Double Star
,,,4226,0,47.8,74,50.9,5.4,,,
,,,4229,0,48.1,72,40.5,6,,,
,,,4231,0,48.8,78,28.1,7.2,,,
,,,4241,0,49.9,71,10.5,7.6,,,
,,,4244,0,50.0,70,46.5,7,,,
,,,4247,0,50.9,77,57.2,6.8,,,
,,,4253,0,52.5,79,50.4,7.5,,,
,,,4256,0,53.3,74,18.8,7.4,,,
,,,4278,0,58.2,70,29.8,6.9,,,
,,,4288,1,0.5,70,59.0,6.5,,,
,,,4316,1,4.8,74,22.3,6.8,,,
,,,4327,1,6.9,70,55.9,6.6,,,
,,,4331,1,9.2,80,0.7,6.4,,,
,,,4341,1,12.2,79,40.4,5.7,,,
,,,4347,1,13.4,73,55.3,7.5,,,
,,,4354,1,16.5,79,54.6,6.4,,,
,,,4358,1,16.2,71,44.6,6.4,,,
,HD 7406 ,,4360,1,16.6,74,1.6,"7.1,7.9",Cas,Sep AB:61,Double Star
,,,4371,1,18.7,72,52.7,7.2,,,
,,,4372,1,18.8,72,24.1,7.1,,,
,,,4373,1,19.2,76,47.8,7.6,,,
,,,4374,1,19.7,72,36.7,7.2,,,
,,,4376,1,20.3,77,34.2,6.4,,,
,,,4383,1,22.0,79,1.6,7.4,,,
,,,4384,1,21.5,74,34.8,7.2,,,
,,,4386,1,22.0,76,42.6,7.1,,,
,,,4387,1,22.0,76,14.4,6.5,,,
,,,4391,1,23.8,78,43.6,6.1,,,
,,,4393,1,24.1,72,50.8,7.2,,,
,,,4401,1,25.8,70,58.8,6.5,,,
,,,4407,1,29.0,74,12.4,7.3,,,
,,,4422,1,31.2,70,15.9,6,,,
,,,4448,1,37.4,74,18.1,6.4,,,
,HD 9774 40 Cas,,4453,1,38.5,73,2.4,"5.3,11.3",Cas,Sep AB:53,Double Star
,,,4461,1,40.9,77,58.1,6.6,,,
,,,4470,1,42.9,70,37.4,5.3,,,
,,,4473,1,43.8,74,36.3,6.8,,,
,,,4477,1,44.7,75,52.4,7.1,,,
,,,4503,1,51.8,75,35.4,6.9,,,
,,,4506,1,52.2,70,45.1,7.5,,,
,,,4509,1,54.7,78,11.8,6.9,,,
,HD 11316 ,,4512,1,55.4,76,13.5,"7.4,8.4",Cas,Sep AB:3,Double Star
,,,4524,1,57.9,75,20.2,6.7,,,
,,,4536,1,58.8,73,9.2,7.1,,,
,,,4541,2,0.6,75,57.2,7.4,,,
,HD 12013 ,,4550,2,2.1,75,30.1,"6.3,8.2,8.8",Cas,"Sep AB:1.3, Sep AC:117",Double Star
,HD 12111 48 Cas,,4554,2,2.0,70,54.4,"4.6,12.6",Cas,Sep AB:51,Double Star
,,,4555,2,2.9,77,55.0,6.4,,,
,,,4557,2,2.6,71,17.9,7.6,,,
,HD 12173 ,,4559,2,3.2,73,51.0,"6.1,8.6",Cas,Sep AB:5,Double Star
,,,4560,2,3.4,72,25.3,4.1,,,
,HD 12230 47 Cas,,4562,2,5.1,77,16.9,"5.4,11.4",Cas,Sep AB:96,Double Star
,,,4563,2,4.3,71,12.7,7.6,,,
,,,4565,2,5.5,76,6.9,5.3,,,
,,,4570,2,6.0,74,35.0,7.5,,,
,,,4579,2,8.9,79,20.8,7.1,,,
,,,4588,2,9.1,71,33.3,6.7,,,
,,,4592,2,12.5,79,41.6,7.1,,,
,HD 12927 ,,4594,2,12.8,79,41.5,"6.5,7.2",Cep,Sep AB:56,Double Star
,,,4599,2,13.3,74,1.7,6.2,,,
,,,4601,2,15.9,79,10.8,7,,,
,,,4635,2,23.1,70,20.6,7.7,,,
,,,4640,2,24.8,76,7.9,7.5,,,
,,,4641,2,25.9,79,34.6,7.4,,,
,,,4642,2,26.0,79,38.4,7.4,,,
,,,4649,2,27.9,73,42.8,7.2,,,
,,,4675,2,34.5,76,43.1,6.9,,,
,,,4677,2,34.0,71,17.7,6.7,,,
,,,4679,2,36.1,79,43.8,7.7,,,
,,,4691,2,38.1,75,31.7,7.5,,,
,,,4692,2,38.2,75,22.9,7.5,,,
,,,4694,2,38.0,72,49.1,5.3,,,
,,,4709,2,41.9,71,37.6,7.4,,,
,,,4723,2,46.7,75,24.5,7.2,,,
,,,4747,2,52.7,74,44.3,7.6,,,
,,,4750,2,52.9,73,16.7,7.3,,,
,,,4753,2,55.3,80,6.4,7.2,,,
,,,4759,2,55.5,76,31.8,7.5,,,
,,,4763,2,55.5,73,22.3,6.8,,,
,,,4782,2,59.0,77,4.8,7,,,
,,,4804,3,4.3,75,9.0,7.1,,,
,HD 18438 ,,4810,3,6.1,79,25.1,"5.5,9",Cep,Sep AB:5,Double Star
,,,4816,3,5.9,71,0.0,7.6,,,
,HD 18787 ,,4824,3,7.6,75,48.3,"7.1,10.5,9.5,9.7",Cas,"Sep AB:59, Sep AC:60, Sep AD:64",Double Star
,,,4825,3,7.3,72,59.3,7.6,,,
,,,4832,3,8.8,72,32.9,7.7,,,
,,,4840,3,11.9,74,23.7,4.9,,,
,,,4843,3,13.5,78,11.5,7.3,,,
,,,4845,3,12.7,74,11.8,7.4,,,
,HD 19475 ,,4846,3,12.6,71,33.3,"7.6,8.4",Cas,Sep AB:1.3,Double Star
,,,4852,3,15.8,80,7.9,7,,,
