M,C,N,NI,Class,h,GC,Other,Discoverer,Y,M,D,Ap,T,Observer1,Observer2,RH,RM,RS,V,DG,DM,DS,Con,Dist (kly),Vmag,Type,S,Remarks
86,3,N,4406,,1253,2961,,Koehler,1779,5,5,,Rr,Messier 18.3.1781,,12,26,11.5,+,12,56,47,VIR,52000,8.9,E3,1,
87,3,N,4486,,1301,3035,,Koehler,1779,5,5,,Rr,Messier 18.3.1781,,12,30,49.4,+,12,23,26,VIR,53500,8.6,E/P,1,Virgo A
88,3,N,4501,,1312,3049,,Messier,1781,3,18,3.5,Rr,,,12,31,59.0,+,14,25,11,COM,47500,9.6,Sb,1,
89,3,N,4552,,1348,3097,,Messier,1781,3,18,3.5,Rr,,,12,35,39.9,+,12,33,22,VIR,50000,9.8,E,1,
90,3,N,4569,,,3111,,Messier,1781,3,18,3.5,Rr,,,12,36,50.0,+,13,9,50,VIR,58700,9.5,SBab,1,
91,3,N,4548,II 120,1345,3093,,Messier,1781,3,18,3.5,Rr,Herschel W. 8.4.1784,,12,35,26.4,+,14,29,47,COM,63000,10.2,SBb,1,
92,3,N,6341,,,4294,,Bode,1777,12,27,,Rr,Messier 18.3.1781,,17,17,7.3,+,43,8,13,HER,26.7,6.5,IV,5,LL 31544
93,3,N,2447,,3098,1571,,Messier,1781,3,20,3.5,Rr,Herschel C. 26.2.1783,,7,44,30.0,-,23,51,24,PUP,3.6,6.2,IV1p,4,
94,3,N,4736,,1456,3258,,Méchain,1781,3,22,3.0,Rr,,,12,50,53.1,+,41,7,17,CVN,16000,8.2,Sab,1,
95,3,N,3351,I 26,740,2179,,Méchain,1781,3,20,3.0,Rr,Herschel W. 19.3.1784,,10,43,57.8,+,11,42,12,LEO,32600,9.7,SBb,1,
96,3,N,3368,,749,2194,,Méchain,1781,3,20,3.0,Rr,,,10,46,45.8,+,11,49,12,LEO,31000,9.3,SBab,1,
97,3,N,3587,,838,2343,,Méchain,1781,2,16,3.0,Rr,,,11,14,47.7,+,55,1,10,UMA,2.03,9.9,PN,3,Owl Nebula
98,3,N,4192,,1132,2786,,Méchain,1781,3,15,3.0,Rr,,,12,13,47.8,+,14,53,58,COM,44400,10.1,SBb,1,
